,모델명,화면크기,무게,CPU,그래픽,RAM,SSD,최저가,등록년월,평점,댓글개수,브랜드,인기,출시 연도
67,삼성전자 갤럭시북5 프로 NT940XHA-KD72S,14.0,1.23,코어 울트라7,내장그래픽,32,1024,2399000,2025.01.,5.0,1,삼성전자,5.0,2025
68,"APPLE 맥북에어15 M4 10코어 CPU, 10코어 GPU 블루",15.3,1.51,Intelligence,기타,16,256,1719890,2025.03.,5.0,9,APPLE,45.0,2025
69,LG전자 그램 프로17 17Z90TR-SDSWK,17.0,1.48,코어 울트라7,RTX4050,32,512,2536290,2025.08.,,,LG전자,,2025
70,LG전자 그램16 16ZD90RU-GX54K,16.0,1.199,코어i5-13세대,기타,16,256,1142860,2024.11.,4.8,124,LG전자,595.1999999999999,2024
71,LG전자 2025 그램 프로360 16TD90TP-GX56K,16.0,1.399,코어 울트라5,내장그래픽,16,256,1697990,2025.01.,4.9,99,LG전자,485.1,2025
72,LG전자 2025 그램 프로360 16T90TP-GA5CK,16.0,1.399,코어 울트라5,내장그래픽,16,256,1749990,2025.01.,4.9,54,LG전자,264.6,2025
73,LG전자 2025 그램 프로17 17ZD90TP-GX56K,17.0,1.369,코어 울트라5,내장그래픽,16,256,1676330,2025.01.,4.9,22,LG전자,107.80000000000001,2025
74,삼성전자 갤럭시북4 NT750XGP-G72A,15.6,1.57,코어7,기타,16,512,1549990,2024.04.,4.9,144,삼성전자,705.6,2024
75,LG전자 2025 그램 프로17 17Z90TR-SD79K,17.0,1.48,코어 울트라7,RTX4050,32,512,2591740,2025.01.,4.9,34,LG전자,166.60000000000002,2025
76,LG전자 2025 그램14 14Z90T-GA5CK,14.0,1.12,코어 울트라5,내장그래픽,16,256,1274070,2025.01.,4.8,45,LG전자,216.0,2025
77,LG전자 2025 그램 프로360 16T90TP-GD7BK,16.0,1.399,코어 울트라7,내장그래픽,32,1024,2450990,2025.01.,4.9,210,LG전자,1029.0,2025
78,LG전자 2024 그램16 16Z90SU-GR56K 16GB램,16.0,1.12,코어 울트라5,기타,16,256,1307100,2024.05.,5.0,1,LG전자,5.0,2024
79,LG전자 그램 프로16 16Z90SP-KD7CK,16.0,1.199,코어 울트라7,내장그래픽,32,512,1898000,2024.04.,5.0,10,LG전자,50.0,2024
80,LG전자 그램 프로16 16Z90SP-KA5CK,16.0,1.199,코어 울트라5,내장그래픽,32,512,1790600,2024.05.,4.9,40,LG전자,196.0,2024
81,LG전자 그램15 15ZD80T-GX56K,15.6,1.29,라이젠AI 5,내장그래픽,16,256,1192470,2025.04.,4.9,82,LG전자,401.8,2025
82,삼성전자 갤럭시북4 NT750XGJ-KH31S,15.6,1.55,코어i3-13세대,기타,16,512,755000,2024.08.,5.0,1,삼성전자,5.0,2024
83,LG전자 2025 그램 프로16 16Z90TS-GU7WK,16.0,1.199,코어 울트라7,내장그래픽,32,1024,2217400,2025.03.,4.8,89,LG전자,427.2,2025
84,LG전자 2025 그램 프로16 16Z90TP-KD7BK,16.0,1.199,코어 울트라7,내장그래픽,32,1024,2281070,2025.01.,4.9,137,LG전자,671.3000000000001,2025
85,삼성전자 갤럭시북5 프로 NT960XHA-KP72G,16.0,1.56,코어 울트라7,내장그래픽,32,512,2379000,2025.01.,4.7,7,삼성전자,32.9,2025
86,LG전자 그램15 15ZD80T-GX79K,15.6,1.29,라이젠AI 7,내장그래픽,32,512,1598870,2025.04.,5.0,7,LG전자,35.0,2025
87,LG전자 2025 그램 프로16 16Z90TP-GA5HK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1621680,2025.01.,4.9,168,LG전자,823.2,2025
88,삼성전자 갤럭시북4 NT750XGR-A71A WIN11,15.6,1.55,코어i7-13세대,기타,16,512,1051920,2024.04.,4.6,29,삼성전자,133.39999999999998,2024
89,LG전자 2025 그램 프로16 16Z90TP-GD7CK,16.0,1.199,코어 울트라7,내장그래픽,32,512,2102090,2025.01.,4.9,133,LG전자,651.7,2025
90,LG전자 울트라PC 15U50T-GROWK,15.6,1.7,코어i5-13세대,기타,8,256,626130,2024.11.,4.9,311,LG전자,1523.9,2024
91,"APPLE 맥북에어13 M2 8코어 CPU, 8코어 GPU 블루",13.6,1.24,M2,기타,8,256,970000,2022.06.,4.8,338,APPLE,1622.3999999999999,2022
92,LG전자 그램17 17Z90S-GA5VK,17.0,1.35,코어 울트라5,내장그래픽,16,256,1428000,2025.03.,,,LG전자,,2025
93,삼성전자 갤럭시북5 프로 NT960XHA-K51A,16.0,1.56,코어 울트라5,내장그래픽,16,256,1743970,2025.01.,4.8,610,삼성전자,2928.0,2025
94,"APPLE 맥북프로16 M4프로 14코어 CPU, 20코어 GPU 블랙",16.2,2.14,M4 Pro,기타,24,512,3450000,2024.11.,5.0,21,APPLE,105.0,2024
95,LG전자 그램 프로16 16Z90TR-ED7WK,16.0,1.36,코어 울트라7,RTX5050,32,1024,3067290,2025.08.,4.9,40,LG전자,196.0,2025
96,LG전자 2025 그램14 14Z90T-GA5HK,14.0,1.12,코어 울트라5,내장그래픽,16,512,1348980,2025.01.,4.9,62,LG전자,303.8,2025
97,LG전자 2025 그램 프로16 16ZD90TR-SXSWK WIN11,16.0,1.36,코어 울트라7,RTX4050,32,512,2448950,2025.08.,,,LG전자,,2025
98,LG전자 그램15 15ZD80T-GX56K WIN11,15.6,1.29,라이젠AI 5,내장그래픽,16,256,1218990,2025.04.,5.0,2,LG전자,10.0,2025
99,LG전자 2025 그램 프로16 16ZD90TR-SX5BK WIN11,16.0,1.36,코어 울트라5,RTX4050,32,512,2290000,2025.02.,,,LG전자,,2025
100,LG전자 2025 그램15 15ZD90T-GX56K WIN11,15.6,1.29,코어 울트라5,내장그래픽,16,256,1366260,2025.01.,5.0,1,LG전자,5.0,2025
101,LG전자 울트라PC 15U50T-GA5VK,15.6,1.7,코어i5-13세대,기타,16,512,744420,2025.01.,4.9,44,LG전자,215.60000000000002,2025
102,LG전자 2025 그램 프로17 17ZD90TR-SXFWK WIN11,17.0,1.48,코어 울트라5,RTX4050,32,512,2366950,2025.09.,,,LG전자,,2025
103,LG전자 2025 그램14 14ZD90T-GX56K WIN11,14.0,1.12,코어 울트라5,내장그래픽,16,256,1273670,2025.01.,4.0,2,LG전자,8.0,2025
104,LG전자 그램15 15Z80T-GU7WK,15.6,1.29,라이젠AI 7,내장그래픽,32,1024,1679000,2025.04.,5.0,32,LG전자,160.0,2025
105,LG전자 2025 그램 프로17 17Z90TR-SDSLK,17.0,1.48,코어 울트라7,RTX4050,32,512,2600370,2025.01.,,,LG전자,,2025
106,"APPLE 맥북에어13 M4 10코어 CPU, 8코어 GPU 실버",13.6,1.24,Intelligence,기타,16,256,1430960,2025.03.,5.0,9,APPLE,45.0,2025
107,삼성전자 갤럭시북5 NT750XHD-KC51G,15.6,1.55,코어 울트라5,기타,16,512,1438990,2025.07.,5.0,1,삼성전자,5.0,2025
108,삼성전자 갤럭시북 프로 SE NT950XFT-A51A,15.6,1.11,코어i5-13세대,기타,16,256,1161890,2023.02.,4.9,192,삼성전자,940.8000000000001,2023
109,삼성전자 갤럭시북4 NT750XGQ-A71A WIN11,15.6,1.55,코어7,기타,16,512,1409000,2024.05.,,,삼성전자,,2024
110,LG전자 울트라PC 15UD50T-GX5JK 16GB램,15.6,1.7,코어i5-13세대,기타,16,256,668790,2024.11.,5.0,5,LG전자,25.0,2024
111,LG전자 그램15 15ZD90RU-GX54K WIN11,15.6,1.14,코어i5-13세대,기타,16,256,1109520,2025.01.,4.6,3,LG전자,13.799999999999999,2025
112,LG전자 2024 그램16 16ZD90SU-GX56K WIN11 16GB램,16.0,1.12,코어 울트라5,기타,16,256,1252000,2024.04.,5.0,10,LG전자,50.0,2024
113,LG전자 2025 그램 프로16 16ZD90TP-GX56K WIN11,16.0,1.199,코어 울트라5,내장그래픽,16,256,1535190,2025.01.,5.0,2,LG전자,10.0,2025
114,"APPLE 맥북프로14 M4프로 14코어 CPU, 20코어 GPU 블랙",14.2,1.6,M4 Pro,기타,24,1024,3306510,2024.11.,4.9,73,APPLE,357.70000000000005,2024
115,LG전자 2025 그램 프로16 16ZD90TP-GX59K WIN11,16.0,1.199,코어 울트라5,내장그래픽,32,256,1815000,2025.01.,,,LG전자,,2025
116,LG전자 2025 그램 프로17 17ZD90TR-SX79K,17.0,1.48,코어 울트라7,RTX4050,32,512,2489120,2025.01.,4.8,110,LG전자,528.0,2025
117,LG전자 그램17 17Z90S-GALGL,17.0,1.35,코어 울트라5,내장그래픽,16,256,1398990,2025.03.,4.8,6,LG전자,28.799999999999997,2025
118,"APPLE 맥북프로16 M4프로 14코어 CPU, 20코어 GPU 실버",16.2,2.14,M4 Pro,기타,24,512,3578990,2024.11.,5.0,103,APPLE,515.0,2024
119,LG전자 2024 그램14 14ZD90S-GX56K,14.0,1.12,코어 울트라5,내장그래픽,16,256,1128010,2024.01.,4.8,524,LG전자,2515.2,2024
120,삼성전자 갤럭시북4 프로360 NT960QGK-K71A,16.0,1.66,코어 울트라7,내장그래픽,16,512,1829000,2024.01.,4.9,604,삼성전자,2959.6000000000004,2024
121,LG전자 2025 그램 프로17 17ZD90TR-SXSBK WIN11,17.0,1.48,코어 울트라7,RTX4050,32,512,2570710,2025.09.,,,LG전자,,2025
122,삼성전자 갤럭시북4 NT750XGL-XD72S,15.6,1.57,코어7,기타,32,1024,1948990,2024.04.,4.3,3,삼성전자,12.899999999999999,2024
123,LG전자 2023 그램14 14ZD90RU-GX56K WIN11,14.0,,코어i5-13세대,기타,16,256,1190000,2024.09.,5.0,8,LG전자,40.0,2024
124,"APPLE 맥북프로14 M4프로 12코어 CPU, 16코어 GPU 블랙",14.2,1.6,M4 Pro,기타,24,512,2712180,2024.11.,5.0,36,APPLE,180.0,2024
125,LG전자 울트라PC 15U50T-GR50K,15.6,1.7,코어i5-13세대,기타,8,256,631030,2024.11.,4.7,81,LG전자,380.7,2024
126,LG전자 울트라PC 15UD50T-GX5JK WIN11 32GB램,15.6,1.7,코어i5-13세대,기타,32,256,832190,2024.12.,5.0,1,LG전자,5.0,2024
127,LG전자 그램15 15Z90S-GP5CL,15.6,1.29,코어 울트라5,내장그래픽,32,512,1618590,2025.08.,4.8,5,LG전자,24.0,2025
128,LG전자 울트라PC 15U50R-SAOWK 32GB램,15.6,1.8,코어i5-13세대,기타,32,512,1171000,2025.07.,,,LG전자,,2025
129,삼성전자 갤럭시북5 프로H NT965XHW-A51A,16.0,1.56,코어 울트라5,내장그래픽,16,256,1599900,2025.01.,4.9,388,삼성전자,1901.2,2025
130,LG전자 2025 그램 프로16 16ZD90TR-SX79K WIN11,16.0,1.36,코어 울트라7,RTX4050,32,512,2364370,2025.02.,,,LG전자,,2025
131,LG전자 울트라PC 15U50S-SP7GL 32GB램,15.6,1.8,코어 울트라7,기타,32,512,1657430,2025.08.,,,LG전자,,2025
132,LG전자 울트라PC 15UD50T-GX5JK 32GB램,15.6,1.7,코어i5-13세대,기타,32,256,749000,2024.11.,,,LG전자,,2024
133,LG전자 2025 그램 프로17 17ZD90TR-SX7BK WIN11,17.0,1.48,코어 울트라7,RTX4050,32,512,2510050,2025.02.,,,LG전자,,2025
134,LG전자 2024 그램17 17ZD90SU-GX56K,17.0,1.39,코어 울트라5,기타,8,256,1312570,2024.03.,4.8,78,LG전자,374.4,2024
135,"APPLE 맥북에어13 M4 10코어 CPU, 10코어 GPU 블루",13.6,1.24,Intelligence,기타,16,512,1719890,2025.03.,5.0,6,APPLE,30.0,2025
136,LG전자 2025 그램 프로16 16Z90TP-GA5BK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1599790,2025.01.,5.0,26,LG전자,130.0,2025
137,삼성전자 갤럭시북5 프로H NT965XHW-A71AR WIN11,16.0,1.56,코어 울트라7,내장그래픽,32,256,2151850,2025.02.,,,삼성전자,,2025
138,삼성전자 갤럭시북5 프로360 NT960QHA-KC51S,16.0,1.69,코어 울트라5,내장그래픽,16,512,2099810,2024.11.,4.7,7,삼성전자,32.9,2024
139,LG전자 2025 그램 프로17 17ZD90TP-GX79K,17.0,1.369,코어 울트라7,내장그래픽,32,256,2112340,2025.01.,5.0,19,LG전자,95.0,2025
140,LG전자 그램 프로17 17Z90TR-ED7WK,17.0,1.48,코어 울트라7,RTX5050,32,1024,3143140,2025.08.,4.9,78,LG전자,382.20000000000005,2025
141,LG전자 그램15 15Z80T-GS5CK,15.6,1.29,라이젠AI 5,내장그래픽,16,256,1219370,2025.04.,5.0,6,LG전자,30.0,2025
142,삼성전자 갤럭시북5 프로360 NT960QHA-KC51G,16.0,1.69,코어 울트라5,내장그래픽,16,512,1941080,2024.11.,4.9,12,삼성전자,58.800000000000004,2024
143,LG전자 2025 그램 프로17 17Z90TR-SAFWK,17.0,1.48,코어 울트라5,RTX4050,32,512,2288990,2025.08.,,,LG전자,,2025
144,LG전자 2023 그램16 16ZD90RU-GX56K WIN11,16.0,1.199,코어i5-13세대,기타,16,256,1060000,2023.05.,5.0,17,LG전자,85.0,2023
145,LG전자 울트라PC 15U50T-GR50K 16GB램,15.6,1.7,코어i5-13세대,기타,16,256,668940,2024.12.,5.0,1,LG전자,5.0,2024
146,LG전자 2024 그램16 16ZD90SU-GXF6K 16GB램,16.0,1.12,코어 울트라5,내장그래픽,16,256,1258330,2025.02.,,,LG전자,,2025
147,LG전자 그램 프로16 16Z90TR U7,16.0,1.36,코어 울트라7,RTX4050,32,1024,2769000,2025.02.,,,LG전자,,2025
148,LG전자 2025 그램 프로360 16TD90TP-GX76K,16.0,1.399,코어 울트라7,내장그래픽,16,256,1898870,2025.01.,5.0,11,LG전자,55.0,2025
149,삼성전자 갤럭시북5 프로 NT960XHA-KC51G,16.0,1.56,코어 울트라5,내장그래픽,16,512,1798000,2025.01.,4.6,11,삼성전자,50.599999999999994,2025
150,삼성전자 갤럭시북5 프로 NT940XHA-KC71S,14.0,1.23,코어 울트라7,내장그래픽,16,512,1990190,2025.01.,,,삼성전자,,2025
151,삼성전자 갤럭시북4 울트라 NT960XGL-XD94G,16.0,1.86,코어 울트라9,RTX4070,64,2048,4349000,2024.01.,,,삼성전자,,2024
152,삼성전자 갤럭시북4 NT751XGJ-KR51G,15.6,1.55,코어i5-13세대,기타,16,256,890000,2024.08.,,,삼성전자,,2024
153,LG전자 2024 그램14 14Z90S-GA5PK,14.0,1.12,코어 울트라5,내장그래픽,16,256,1199990,2024.01.,,,LG전자,,2024
154,삼성전자 갤럭시북4 NT750XGR-A58A,15.6,1.55,코어i5-13세대,기타,8,256,738990,2024.03.,,,삼성전자,,2024
155,LG전자 그램 프로17 17Z90SP-EA5CK,17.0,1.379,코어 울트라5,RTX3050,16,256,2148990,2024.01.,,,LG전자,,2024
156,LG전자 2025 그램 프로360 16T90TP-GA5BK,16.0,1.399,코어 울트라5,내장그래픽,16,512,1803140,2025.01.,,,LG전자,,2025
157,LG전자 2024 그램16 16ZD90SU-GXF6K WIN11 16GB램,16.0,1.12,코어 울트라5,내장그래픽,16,256,1283040,2025.02.,,,LG전자,,2025
158,"APPLE 맥북에어15 M4 10코어 CPU, 10코어 GPU 스카이",15.3,1.51,Intelligence,기타,16,256,1719890,2025.03.,,,APPLE,,2025
159,삼성전자 갤럭시북5 프로H NT965XHW-A51A WIN11,16.0,1.56,코어 울트라5,내장그래픽,16,256,1676390,2025.02.,,,삼성전자,,2025
160,삼성전자 갤럭시북4 울트라 NT960XGL-XC92G,16.0,1.86,코어 울트라9,RTX4070,32,1024,3606870,2024.03.,,,삼성전자,,2024
161,"APPLE 맥북에어13 M4 10코어 CPU, 10코어 GPU 실버",13.6,1.24,Intelligence,기타,16,512,1718990,2025.03.,,,APPLE,,2025
162,LG전자 2025 그램14 14Z90T-GA56K,14.0,1.12,코어 울트라5,내장그래픽,16,512,1433740,2025.01.,,,LG전자,,2025
163,LG전자 그램 14Z980 i5 중고,14.0,,코어i5-8세대,기타,8,128,559000,2025.02.,,,LG전자,,2025
164,삼성전자 갤럭시북4 NT750XGJ-KP51S,15.6,1.55,코어i5-13세대,기타,16,256,869000,2024.08.,,,삼성전자,,2024
165,삼성전자 다나와인증 DB400T7B LT2305001524,,,코어i7-7세대,기타,16,500,519990,2025.02.,,,삼성전자,,2025
166,LG전자 2024 그램16 16ZD90SU-GX56K WIN11,16.0,1.12,코어 울트라5,기타,8,256,1240000,2024.04.,,,LG전자,,2024
167,LG전자 2025 그램 프로16 16Z90TP-KA5WK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1858820,2025.01.,,,LG전자,,2025
168,삼성전자 갤럭시북 프로 SE NT950XGK-KM50S,15.6,1.13,코어 울트라5,내장그래픽,16,256,1331000,2024.10.,,,삼성전자,,2024
169,LG전자 울트라PC 15UD50T-GX5JK WIN11,15.6,1.7,코어i5-13세대,기타,8,256,644740,2024.12.,,,LG전자,,2024
170,삼성전자 갤럭시북4 엣지 NT940XMA-K01A,14.0,1.16,,기타,16,512,1297990,2024.06.,,,삼성전자,,2024
171,LG전자 2024 그램14 14ZD90S-GX59K,14.0,1.12,코어 울트라5,내장그래픽,32,512,1619000,2024.01.,,,LG전자,,2024
172,"APPLE 맥북에어13 M4 10코어 CPU, 8코어 GPU 스카이",13.6,1.24,Intelligence,기타,16,256,1430970,2025.03.,,,APPLE,,2025
173,LG전자 2025 그램 프로17 17Z90TR-SD7WK,17.0,1.48,코어 울트라7,RTX4050,32,1024,2607250,2025.02.,,,LG전자,,2025
174,LG전자 2025 그램 프로17 17Z90TP-GA5HK,17.0,1.369,코어 울트라5,내장그래픽,16,512,1688990,2025.01.,,,LG전자,,2025
175,삼성전자 갤럭시북5 프로360 NT960QHA-K71AR,16.0,1.69,코어 울트라7,내장그래픽,32,1024,2880000,2024.12.,,,삼성전자,,2024
176,LG전자 그램17 17Z90T-GP56ML,17.0,1.35,코어 울트라5,내장그래픽,16,512,1665880,2025.06.,,,LG전자,,2025
177,LG전자 그램16 16ZD90RU-GX54K WIN11,16.0,1.199,코어i5-13세대,기타,16,256,1157960,2025.01.,,,LG전자,,2025
178,LG전자 2025 그램 프로17 17ZD90TR-SXSWK WIN11,17.0,1.48,코어 울트라7,RTX4050,32,512,2489960,2025.09.,,,LG전자,,2025
179,LG전자 2025 그램15 15ZD90T-GX59K WIN11,15.6,1.29,코어 울트라5,내장그래픽,32,256,1597280,2025.01.,,,LG전자,,2025
180,삼성전자 NT950XDB i5 중고,15.6,1.05,코어i5-11세대,기타,8,256,440000,2023.09.,5.0,5,삼성전자,25.0,2023
181,LG전자 2025 그램 프로16 16Z90TR-SDSWK,16.0,1.36,코어 울트라7,RTX4050,32,1024,2696260,2025.08.,,,LG전자,,2025
182,삼성전자 갤럭시북4 NT750XGR-A28A,15.6,1.55,,기타,8,256,569000,2025.09.,4.9,40,삼성전자,196.0,2025
183,LG전자 2024 그램17 17ZD90SU-GX56K WIN11 16GB램,17.0,1.39,코어 울트라5,기타,16,256,1362000,2024.03.,4.0,1,LG전자,4.0,2024
184,삼성전자 갤럭시북4 프로 NT960XGK-KC71S,16.0,1.56,코어 울트라7,내장그래픽,16,512,1766990,2024.01.,5.0,4,삼성전자,20.0,2024
185,LG전자 2023 그램15 15Z90R-GA56K,15.6,1.14,코어i5-13세대,기타,16,256,1195030,2023.01.,4.8,90,LG전자,432.0,2023
186,LG전자 2025 그램15 15Z90T-GA59K,15.6,1.29,코어 울트라5,내장그래픽,32,256,1597690,2025.01.,5.0,6,LG전자,30.0,2025
187,LG전자 2025 그램 프로17 17Z90TP-GA5BK,17.0,1.369,코어 울트라5,내장그래픽,16,256,1603000,2025.02.,5.0,4,LG전자,20.0,2025
188,LG전자 2023 울트라PC 15UD50R-GX56K,15.6,1.8,코어i5-13세대,기타,8,256,618980,2023.05.,4.9,217,LG전자,1063.3000000000002,2023
189,LG전자 2025 그램 프로17 17Z90TR-SD7LK,17.0,1.48,코어 울트라7,RTX4050,32,512,2623980,2025.01.,5.0,1,LG전자,5.0,2025
190,삼성전자 갤럭시북5 프로360 NT961QHA U7,16.0,1.69,코어 울트라7,내장그래픽,32,256,2766740,2025.03.,,,삼성전자,,2025
191,LG전자 그램 프로360 16T90SP-KA5HK,16.0,1.399,코어 울트라5,내장그래픽,16,512,1648000,2024.01.,4.9,81,LG전자,396.90000000000003,2024
192,삼성전자 갤럭시북4 프로360 NT960QGK-KC71G,16.0,1.66,코어 울트라7,내장그래픽,16,512,1933890,2024.01.,5.0,13,삼성전자,65.0,2024
193,LG전자 그램15 15ZD80T-GX79K WIN11,15.6,1.29,라이젠AI 7,내장그래픽,32,512,1637690,2025.04.,,,LG전자,,2025
194,LG전자 2025 그램 프로16 16ZD90TR-SXSWK,16.0,1.36,코어 울트라7,RTX4050,32,512,2441000,2025.08.,,,LG전자,,2025
195,LG전자 2025 그램 프로17 17Z90TR-SD7HK,17.0,1.48,코어 울트라7,RTX4050,32,1024,2631980,2025.02.,5.0,39,LG전자,195.0,2025
196,삼성전자 갤럭시북5 프로360 NT960QHA-KC71S,16.0,1.69,코어 울트라7,내장그래픽,16,512,2298990,2024.11.,5.0,2,삼성전자,10.0,2024
197,LG전자 2025 그램 프로16 16ZD90TP-GX79K WIN11,16.0,1.199,코어 울트라7,내장그래픽,32,256,2149000,2025.01.,,,LG전자,,2025
198,LG전자 2025 그램 프로16 16Z90TS-GS56K,16.0,1.239,코어 울트라5,내장그래픽,16,256,1598900,2025.01.,4.9,148,LG전자,725.2,2025
199,LG전자 2023 울트라PC 15U50R-GP50ML 16GB램,15.6,1.8,코어i5-13세대,기타,16,256,766840,2023.10.,,,LG전자,,2023
200,LG전자 2023 그램16 16ZD90RU-GX56K,16.0,1.199,코어i5-13세대,기타,16,256,1040000,2023.04.,4.8,597,LG전자,2865.6,2023
201,삼성전자 갤럭시북3 NT750XFT-A51A,15.6,1.57,코어i5-13세대,기타,16,256,780000,2023.04.,4.8,"1,819",삼성전자,,2023
202,삼성전자 NT551XDA i5 중고,15.6,1.81,코어i5-11세대,기타,8,256,390000,2021.01.,5.0,4,삼성전자,20.0,2021
203,LG전자 2025 그램 프로17 17ZD90TP-GX59K,17.0,1.369,코어 울트라5,내장그래픽,32,256,1954700,2025.01.,4.7,11,LG전자,51.7,2025
204,LG전자 2024 그램15 15Z90S-GA50K,15.6,1.29,코어 울트라5,내장그래픽,16,256,1398990,2024.01.,,,LG전자,,2024
205,LG전자 2025 그램 프로17 17Z90TR-SA5BK,17.0,1.48,코어 울트라5,RTX4050,32,512,2408970,2025.02.,5.0,17,LG전자,85.0,2025
206,LG전자 2023 그램16 16Z90R-GA7CK,16.0,1.199,코어i7-13세대,기타,16,250,1630170,2023.05.,,,LG전자,,2023
207,LG전자 2025 그램 프로16 16Z90TR-SA5BK,16.0,1.36,코어 울트라5,RTX4050,32,512,2371830,2025.02.,4.8,32,LG전자,153.6,2025
208,LG전자 2023 그램14 14ZD90RU-GX56K,14.0,,코어i5-13세대,기타,16,256,1130780,2024.09.,4.8,60,LG전자,288.0,2024
209,삼성전자 갤럭시북 NT761XDA i5 중고,15.6,1.85,코어i5-11세대,RTX3050,16,512,756560,2022.04.,4.0,12,삼성전자,48.0,2022
210,LG전자 2025 그램 프로17 17Z90TR-SA5HK,17.0,1.48,코어 울트라5,RTX4050,32,512,2399000,2025.02.,4.7,19,LG전자,89.3,2025
211,LG전자 2025 그램 프로16 16Z90TP-GA5LK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1639890,2025.01.,5.0,21,LG전자,105.0,2025
212,삼성전자 갤럭시북5 프로 NT940XHA-KC51G,14.0,1.23,코어 울트라5,내장그래픽,16,512,1729000,2025.01.,4.5,9,삼성전자,40.5,2025
213,LG전자 2025 그램 프로17 17Z90TP-GD7CK,17.0,1.369,코어 울트라7,내장그래픽,32,512,2199000,2025.01.,4.9,101,LG전자,494.90000000000003,2025
214,LG전자 2024 그램15 15ZD90S-GX56K,15.6,1.3,코어 울트라5,내장그래픽,16,256,1315100,2024.01.,4.8,394,LG전자,1891.1999999999998,2024
215,LG전자 2023 울트라PC 15U40R-GR56K,15.6,1.75,라이젠5,내장그래픽,8,256,658400,2023.01.,5.0,7,LG전자,35.0,2023
216,삼성전자 갤럭시북4 NT750XGJ-KH51G,15.6,1.55,코어i5-13세대,기타,16,256,845000,2024.04.,4.6,127,삼성전자,584.1999999999999,2024
217,LG전자 그램17 17Z90T-GP7HL,17.0,1.35,코어 울트라7,내장그래픽,32,512,2332210,2025.05.,,,LG전자,,2025
218,LG전자 그램 프로16 16ZD90SP-GX59K,16.0,1.199,코어 울트라5,내장그래픽,32,512,1851170,2024.01.,4.9,96,LG전자,470.40000000000003,2024
219,LG전자 그램 프로16 16Z90TR-EA5BK,16.0,1.36,코어 울트라5,RTX5050,32,512,2718520,2025.08.,4.9,33,LG전자,161.70000000000002,2025
220,삼성전자 갤럭시북4 프로 NT940XGQ-A51A,14.0,1.23,코어 울트라5,내장그래픽,16,256,1398930,2024.01.,4.8,"3,584",삼성전자,,2024
221,LG전자 그램15 15Z80T-GS5MK,15.6,1.29,라이젠AI 5,내장그래픽,16,512,1277870,2025.04.,5.0,1,LG전자,5.0,2025
222,LG전자 그램 프로17 17Z90SP-EP7KL,17.0,1.38,코어 울트라7,RTX3050,32,256,2449000,2024.10.,,,LG전자,,2024
223,LG전자 울트라PC 15U50R-SAOWK,15.6,1.8,코어i5-13세대,기타,16,512,1005000,2025.07.,4.9,14,LG전자,68.60000000000001,2025
224,LG전자 2025 그램14 14Z90T-GA5JK,14.0,1.12,코어 울트라5,내장그래픽,16,512,1345210,2025.01.,5.0,1,LG전자,5.0,2025
225,LG전자 2025 그램 프로17 17Z90TP-GA5LK,17.0,1.369,코어 울트라5,내장그래픽,16,512,1633000,2025.01.,4.7,24,LG전자,112.80000000000001,2025
226,삼성전자 NT371B5L i5 중고,15.6,2.3,코어i5-6세대,기타,4,128,238000,2017.12.,4.5,2,삼성전자,9.0,2017
227,삼성전자 갤럭시북4 프로 NT940XGK-KC51G,14.0,1.23,코어 울트라5,내장그래픽,16,512,1441540,2024.01.,4.6,41,삼성전자,188.6,2024
228,LG전자 2025 그램 프로17 17Z90TP-GA5MK,17.0,1.369,코어 울트라5,내장그래픽,16,256,1609000,2025.01.,,,LG전자,,2025
229,LG전자 2024 그램17 17Z90S-GP7AL,17.0,1.35,코어 울트라7,내장그래픽,32,512,2017910,2024.05.,5.0,2,LG전자,10.0,2024
230,LG전자 2024 그램16 16Z90SU-GRF6K 16GB램,16.0,1.12,코어 울트라5,내장그래픽,16,256,1347000,2025.02.,,,LG전자,,2025
231,LG전자 2024 그램17 17ZD90SU-GX76K,17.0,1.39,코어 울트라7,기타,8,256,1522860,2024.03.,4.9,24,LG전자,117.60000000000001,2024
232,삼성전자 갤럭시북4 프로 NT940XGQ-A51A WIN11,14.0,1.23,코어 울트라5,내장그래픽,16,256,1408080,2024.04.,5.0,3,삼성전자,15.0,2024
233,LG전자 그램 프로17 17Z90SP-EA5HK,17.0,1.379,코어 울트라5,RTX3050,16,512,1999000,2024.02.,4.8,20,LG전자,96.0,2024
234,LG전자 2025 그램 프로16 16Z90TP-GA50K,16.0,1.199,코어 울트라5,내장그래픽,16,512,1748000,2025.01.,4.9,18,LG전자,88.2,2025
235,삼성전자 갤럭시북4 프로 NT940XGQ-A71A WIN11,14.0,1.23,코어 울트라7,내장그래픽,16,256,1740000,2024.05.,,,삼성전자,,2024
236,삼성전자 NT371B5L i5 920MX 중고,15.6,2.3,코어i5-6세대,기타,8,128,245170,2017.12.,5.0,1,삼성전자,5.0,2017
237,LG전자 울트라PC 15U50T-GA5VK 32GB램,15.6,1.7,코어i5-13세대,기타,32,512,838370,2025.02.,4.5,4,LG전자,18.0,2025
