,모델명,화면크기,무게,CPU,그래픽,RAM,SSD,최저가,등록년월,평점,댓글개수,브랜드,인기,출시 연도
434,LG전자 그램 프로360 16TD90SP-KX56K WIN11,16.0,1.399,코어 울트라5,내장그래픽,16,256,1592430,2024.02.,,,LG전자,,2024
435,LG전자 그램 Fold 17X90R-GA50K,17.0,1.54,코어i5-13세대,기타,16,512,3756320,2023.09.,4.9,26,LG전자,127.4,2023
436,LG전자 2025 그램 프로360 16TD90TP-GX76K WIN11,16.0,1.399,코어 울트라7,내장그래픽,16,256,1948470,2025.01.,,,LG전자,,2025
437,LG전자 그램 프로360 16TD90SP-KX76K WIN11,16.0,1.399,코어 울트라7,내장그래픽,16,256,1598990,2024.03.,5.0,1,LG전자,5.0,2024
438,LG전자 2024 그램16 16Z90S-GA5PK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1446640,2024.04.,4.9,423,LG전자,2072.7000000000003,2024
439,LG전자 2024 그램17 17ZD90SU-GX56K WIN11,17.0,1.39,코어 울트라5,기타,8,256,1373280,2024.03.,,,LG전자,,2024
440,LG전자 그램 프로16 16Z90SP-EA5BK,16.0,1.279,코어 울트라5,RTX3050,16,512,2138760,2024.01.,4.9,44,LG전자,215.60000000000002,2024
441,LG전자 그램 프로16 16Z90SP-ED7BK,16.0,1.279,코어 울트라7,RTX3050,32,512,2406000,2024.01.,4.8,91,LG전자,436.8,2024
442,삼성전자 갤럭시북4 프로360 NT960QGK-KC51G,16.0,1.66,코어 울트라5,내장그래픽,16,512,1863380,2024.01.,4.7,37,삼성전자,173.9,2024
443,LG전자 2025 그램 프로16 16ZD90TR-SX59K,16.0,1.36,코어 울트라5,RTX4050,32,512,2313000,2025.01.,4.7,24,LG전자,112.80000000000001,2025
444,삼성전자 갤럭시북4 프로 NT960XGK-KC51G,16.0,1.56,코어 울트라5,내장그래픽,16,512,1697840,2024.01.,4.3,24,삼성전자,103.19999999999999,2024
445,삼성전자 갤럭시북3 프로 NT940XFT-A51A,14.0,1.17,코어i5-13세대,기타,16,256,1288990,2023.02.,4.9,"2,582",삼성전자,,2023
446,삼성전자 갤럭시북4 NT750XGL-XL51G,15.6,1.57,코어5,기타,16,256,1397990,2024.04.,4.0,1,삼성전자,4.0,2024
447,삼성전자 갤럭시북4 프로 NT960XGQ-A52A,16.0,1.56,코어 울트라5,내장그래픽,32,256,1888860,2024.01.,4.9,926,삼성전자,4537.400000000001,2024
448,LG전자 2025 그램 프로17 17ZD90TR-SXSWK,17.0,1.48,코어 울트라7,RTX4050,32,512,2523170,2025.09.,,,LG전자,,2025
449,LG전자 2024 그램15 15Z90S-GA5HK,15.6,1.29,코어 울트라5,내장그래픽,16,512,1362010,2024.01.,4.9,90,LG전자,441.00000000000006,2024
450,LG전자 그램14 14ZB90R-GP50ML,14.0,,코어i5-13세대,기타,8,256,1078000,2025.02.,,,LG전자,,2025
451,LG전자 2024 그램17 17Z90S-GA5BK,17.0,1.35,코어 울트라5,내장그래픽,16,512,1544380,2024.04.,4.9,53,LG전자,259.70000000000005,2024
452,LG전자 울트라PC 15UD50T-GX5JK WIN11 64GB램,15.6,1.7,코어i5-13세대,기타,64,256,805200,2025.02.,,,LG전자,,2025
453,LG전자 그램 프로16 16Z90SP-GA70K,16.0,1.199,코어 울트라7,내장그래픽,16,512,1815000,2024.01.,5.0,18,LG전자,90.0,2024
454,삼성전자 갤럭시북4 프로 NT960XGK-K71AR,16.0,1.56,코어 울트라7,내장그래픽,32,1024,2196000,2024.01.,4.9,314,삼성전자,1538.6000000000001,2024
455,LG전자 그램 프로360 16T90SP-KA5CK,16.0,1.399,코어 울트라5,내장그래픽,16,256,1605960,2024.01.,4.9,62,LG전자,303.8,2024
456,삼성전자 갤럭시북4 NT750XGR-A38A WIN11,15.6,1.55,코어i3-13세대,기타,8,256,695000,2024.04.,4.8,30,삼성전자,144.0,2024
457,LG전자 2025 그램15 15Z90T-GA5JK,15.6,1.29,코어 울트라5,내장그래픽,16,512,1455970,2025.01.,,,LG전자,,2025
458,LG전자 그램 프로16 16ZD90SP-GX56K WIN11,16.0,1.199,코어 울트라5,내장그래픽,16,256,1428990,2024.03.,5.0,12,LG전자,60.0,2024
459,"APPLE 맥북에어13 M3 8코어 CPU, 10코어 GPU 블루",13.6,1.24,M3,기타,8,512,1376080,2024.03.,4.8,60,APPLE,288.0,2024
460,LG전자 그램 프로17 17Z90SP-GA5HK,17.0,1.299,코어 울트라5,내장그래픽,16,512,1498990,2024.01.,4.9,108,LG전자,529.2,2024
461,LG전자 2025 그램 프로16 16ZD90TR-SX5BK,16.0,1.36,코어 울트라5,RTX4050,32,512,2308000,2025.01.,5.0,9,LG전자,45.0,2025
462,삼성전자 갤럭시북4 프로360 NT960QGK-KH51G,16.0,1.66,코어 울트라5,내장그래픽,16,512,1699000,2024.01.,4.0,140,삼성전자,560.0,2024
463,삼성전자 갤럭시북4 프로360 NT960QGK-KD72G,16.0,1.66,코어 울트라7,내장그래픽,32,1024,2359640,2024.01.,4.7,122,삼성전자,573.4,2024
464,삼성전자 갤럭시북4 NT750XGK-KH51G,15.6,1.55,코어5,기타,16,256,1190000,2024.04.,,,삼성전자,,2024
465,삼성전자 갤럭시북5 프로360 NT960QHA-KA72G,16.0,1.69,코어 울트라7,내장그래픽,32,1024,3066580,2024.11.,,,삼성전자,,2024
466,삼성전자 갤럭시북4 프로 NT940XGK-KH51G,14.0,1.23,코어 울트라5,내장그래픽,16,512,1590000,2024.01.,4.6,19,삼성전자,87.39999999999999,2024
467,삼성전자 갤럭시북4 엣지 NT960XMA-KC01B,16.0,1.55,,기타,16,512,1398990,2024.06.,3.0,2,삼성전자,6.0,2024
468,LG전자 그램 프로16 16Z90SP-GA5HK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1496890,2024.01.,4.9,341,LG전자,1670.9,2024
469,삼성전자 갤럭시북3 프로 NT940XFG-KC51G,14.0,1.17,코어i5-13세대,기타,16,256,1318000,2023.02.,4.8,26,삼성전자,124.8,2023
470,LG전자 울트라PC 15U50R-SA5CK,15.6,1.8,코어i5-13세대,기타,16,256,948180,2025.08.,,,LG전자,,2025
471,삼성전자 갤럭시북 프로 SE NT950XGQ-A51A WIN11,15.6,1.13,코어 울트라5,내장그래픽,16,512,1387080,2024.07.,5.0,3,삼성전자,15.0,2024
472,삼성전자 갤럭시북4 NT750XGL-XC51S,15.6,1.57,코어5,기타,16,512,1528890,2024.04.,4.8,9,삼성전자,43.199999999999996,2024
473,LG전자 2024 그램17 17Z90S-GA5CK,17.0,1.35,코어 울트라5,내장그래픽,16,256,1468980,2024.04.,5.0,14,LG전자,70.0,2024
474,LG전자 2024 그램17 17Z90SU-GRF6K,17.0,1.39,코어 울트라5,내장그래픽,8,256,1474200,2025.02.,,,LG전자,,2025
475,LG전자 2024 그램16 16Z90S-GA5SK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1391000,2025.01.,4.6,21,LG전자,96.6,2025
476,LG전자 2023 그램14 14Z90RU-GA3CK,14.0,,코어i3-13세대,기타,16,256,1198420,2024.10.,5.0,2,LG전자,10.0,2024
477,LG전자 2025 그램15 15Z90T-GA50K,15.6,1.29,코어 울트라5,내장그래픽,16,256,1403240,2025.01.,5.0,9,LG전자,45.0,2025
478,LG전자 2025 그램 프로17 17ZD90TP-GX5BK WIN11,17.0,1.369,코어 울트라5,내장그래픽,16,256,1661530,2025.01.,,,LG전자,,2025
479,삼성전자 갤럭시북4 프로 NT940XGK-KC50G,14.0,1.23,코어 울트라5,내장그래픽,16,256,1566000,2024.03.,4.8,49,삼성전자,235.2,2024
